"Year","Fruit","Variety","Area_harvested_ha","Yield_t_per_ha","Production_tons","Average_Temperature_C","Rainfall_mm","Pest_Incidence_Index","Irrigation_Water_m3_per_ha","Productivity","Growth_Percent","Disease_Class","NDVI_Index","Soil_Moisture_pct","GDD_Base10","Reference_ETo_mm","Notes","Prod_total_orig"
2005,"Figs","Kadota",44.08,8.85,390.12,15.62,305.3,0.44,2838,0.609,60.25,"Bacterial",0.622,11.71,1584,360.9,"@ data entry check",13072.89
2006,"Figs","Kadota",317.21,12.07,3829.52,17.17,319.5,0.38,2692,0.956,60.26,"Bacterial",0.677,9.96,1477,363.4,"@ anomaly",16656.81
2007,"Figs","Kadota",84.35,8.57,722.97,22.02,325.4,0.31,,,57.38,"Bacterial",0.677,,2515,369.9,"@",11617.33
2008,"Figs","Kadota",199.74,9.35,1867,18.66,340.7,0.23,2620,0.699,61.35,"None",0.653,11.19,1765,348.2,"@ ok",4858.39
2009,"Figs","Kadota",365.34,11.67,4262.57,14.68,263.3,0.4,3403,0.846,57.42,"Bacterial",0.589,7.69,1868,368.5,"@",15122.52
2010,"Figs","Kadota",20.01,10.3,206.02,13.8,319.6,0.21,2793,0.783,57.61,"None",0.655,10.28,1165,345.8,"@  reviewed",9296.72
2011,"Figs","Kadota",338.11,9.9,3347.7,16.46,306.6,0.33,2997,0.75,55.77,"Bacterial",0.7,8.39,2048,359,"@",8889.16
2012,"Figs","Kadota",312.71,8.39,2623.87,16.3,351.4,0.4,2426,0.624,58.69,"Fungal",0.701,9.52,953,341.8,"@",14641.18
2013,"Figs","Kadota",326.97,7.05,2305.95,13.79,235,0.34,3808,0.449,56.39,"Bacterial",0.603,9.98,1379,349.6,"@ anomaly",8064.8
2014,"Figs","Kadota",580.61,8.97,5206.08,21.14,277.2,0.47,3266,0.571,56.33,"Bacterial",0.6,9.37,3085,358.6,"@",14191.64
2015,"Figs","Kadota",169.94,3.73,634.05,15.04,254.8,0.46,3494,0.219,53.48,"Bacterial",0.64,7.62,1434,345,"@",5762.63
2016,"Figs","Kadota",214.5,10.21,2190.49,14.04,269.4,0.38,3247,0.69,54.14,"Bacterial",0.62,11.17,1590,364.5,"@  reviewed",15354.79
2017,"Figs","Kadota",283.95,8.38,2378.51,22.2,331,0.26,2800,0.605,56.89,"Fungal",0.71,9.74,2516,348.2,"@ ok",7498.65
2018,"Figs","Kadota",23.39,8.73,204.23,23.1,312.2,0.35,2947,0.597,60.67,"Bacterial",0.692,9.1,3049,350.4,"@ missing-field flag",8256.35
2019,"Figs","Kadota",157.82,9.37,1479.08,14.71,269.4,0.28,3370,0.646,61.32,"Bacterial",0.631,10.13,1646,348.6,"@",7967.43
2020,"Figs","Kadota",258.82,10.11,2615.68,16.85,274.8,0.29,3394,0.648,58.16,"Bacterial",0.654,8.28,1705,352.2,"@  reviewed",16735.42
2021,"Figs","Kadota",120.96,6.91,835.35,19.22,342.6,0.32,2577,0.442,59.05,"Fungal",0.766,11.98,2748,354.5,"@ anomaly",9721.75
2022,"Figs","Kadota",77.22,5.33,411.86,22.32,305.6,0.45,3003,0.307,61.03,"Bacterial",0.648,9.45,2712,370.3,"@",6882.04
2023,"Figs","Kadota",50.49,5.5,277.51,18.59,256.4,0.33,3346,0.338,60.55,"Bacterial",0.547,9.61,2470,385.1,"@ anomaly",4279.62
1995,"Figs","Sari Lop",19.5,10.83,211.1,19.05,268.6,0.4,3366,0.867,55.72,"Bacterial",0.605,6.55,1811,337.3,"@  reviewed",9562.94
1996,"Figs","Sari Lop",4.32,13.92,60.13,17.34,325.6,0.43,2770,1.113,57.93,"Bacterial",0.735,10.39,1687,346.1,"@  reviewed",8642.86
1997,"Figs","Sari Lop",4.84,9.86,47.7,21.33,359.2,0.34,2452,0.834,60.61,"Fungal",0.706,10.06,2891,365.4,"@ data entry check",13809.52
1998,"Figs","Sari Lop",142.93,10.12,1446.8,17.1,276.6,0.4,3264,0.708,61.1,"Bacterial",0.642,12.59,1538,346.2,"@",11788.08
1999,"Figs","Sari Lop",9.57,6.35,60.79,14.66,363.9,0.33,2486,0.546,61.27,"Fungal",0.7,11.3,1063,333.9,"@  reviewed",6587.17
2000,"Figs","Sari Lop",12.84,5.33,68.48,16.67,284,0.35,3283,0.406,58.02,"Bacterial",0.612,10.25,1358,360.1,"@",3350.87
2001,"Figs","Sari Lop",72.41,10.39,752.11,14.34,342.2,0.42,2509,0.86,58.36,"Fungal",0.718,11.66,708,364.5,"@ ok",10387.27
2002,"Figs","Sari Lop",37.91,12.1,458.71,19.3,292.3,0.23,2992,0.933,58.03,"None",0.613,7.51,2766,364.7,"@ missing-field flag",15855.4
2003,"Figs","Sari Lop",151.04,7.72,1166.54,14.54,330,0.26,2662,0.605,58.94,"Bacterial",0.701,9.41,1129,349.2,"@ missing-field flag",8654.1
2004,"Figs","Sari Lop",489.3,8.99,4396.71,22.14,349.1,0.36,2568,0.678,61.55,"Fungal",0.746,8.73,3322,351.8,"@",13935.69
2005,"Figs","Sari Lop",70.4,8.49,597.62,15.62,305.3,0.44,2838,0.585,60.25,"Bacterial",0.622,11.71,1584,360.9,"@ data entry check",13072.89
2006,"Figs","Sari Lop",81.45,10.61,864.36,17.17,319.5,0.38,2692,0.84,60.26,"Bacterial",0.677,9.96,1477,363.4,"@ anomaly",16656.81
2007,"Figs","Sari Lop",139.91,8.9,1245.08,22.02,325.4,0.31,,,57.38,"Bacterial",0.677,,2515,369.9,"@",11617.33
2008,"Figs","Sari Lop",42.25,8.6,363.48,18.66,340.7,0.23,2620,0.643,61.35,"None",0.653,11.19,1765,348.2,"@ ok",4858.39
2009,"Figs","Sari Lop",69.24,12.2,844.51,14.68,263.3,0.4,3403,0.884,57.42,"Bacterial",0.589,7.69,1868,368.5,"@",15122.52
2010,"Figs","Sari Lop",13.62,10.77,146.65,13.8,319.6,0.21,2793,0.819,57.61,"None",0.655,10.28,1165,345.8,"@  reviewed",9296.72
2011,"Figs","Sari Lop",85.8,9.66,828.5,16.46,306.6,0.33,2997,0.732,55.77,"Bacterial",0.7,8.39,2048,359,"@",8889.16
2012,"Figs","Sari Lop",41.2,8.94,368.14,16.3,351.4,0.4,2426,0.665,58.69,"Fungal",0.701,9.52,953,341.8,"@",14641.18
2013,"Figs","Sari Lop",177.51,7.29,1293.91,13.79,235,0.34,3808,0.464,56.39,"Bacterial",0.603,9.98,1379,349.6,"@ anomaly",8064.8
2014,"Figs","Sari Lop",138.01,9,1241.77,21.14,277.2,0.47,3266,0.572,56.33,"Bacterial",0.6,9.37,3085,358.6,"@",14191.64
2015,"Figs","Sari Lop",778.57,3.61,2812.91,15.04,254.8,0.46,3494,0.211,53.48,"Bacterial",0.64,7.62,1434,345,"@",5762.63
2016,"Figs","Sari Lop",226.49,10.59,2398.1,14.04,269.4,0.38,3247,0.716,54.14,"Bacterial",0.62,11.17,1590,364.5,"@  reviewed",15354.79
2017,"Figs","Sari Lop",77.54,7.83,607.31,22.2,331,0.26,2800,0.565,56.89,"Fungal",0.71,9.74,2516,348.2,"@ ok",7498.65
2018,"Figs","Sari Lop",156.05,8.35,1303.18,23.1,312.2,0.35,2947,0.571,60.67,"Bacterial",0.692,9.1,3049,350.4,"@ missing-field flag",8256.35
2019,"Figs","Sari Lop",57.93,10.58,612.95,14.71,269.4,0.28,3370,0.73,61.32,"Bacterial",0.631,10.13,1646,348.6,"@",7967.43
2020,"Figs","Sari Lop",76.49,10.95,837.5,16.85,274.8,0.29,3394,0.702,58.16,"Bacterial",0.654,8.28,1705,352.2,"@  reviewed",16735.42
2021,"Figs","Sari Lop",851.56,7.23,6156.16,19.22,342.6,0.32,2577,0.462,59.05,"Fungal",0.766,11.98,2748,354.5,"@ anomaly",9721.75
2022,"Figs","Sari Lop",173.02,5.06,874.8,22.32,305.6,0.45,3003,0.291,61.03,"Bacterial",0.648,9.45,2712,370.3,"@",6882.04
2023,"Figs","Sari Lop",84.14,5.3,446.09,18.59,256.4,0.33,3346,0.326,60.55,"Bacterial",0.547,9.61,2470,385.1,"@ anomaly",4279.62
1995,"Grapes","Autumn Royal",312.09,9.55,2979.36,13.5,378.7,0.28,2559,0.865,60.32,"Fungal",0.756,7.83,1313,352.9,"@  reviewed",17911.29
1996,"Grapes","Autumn Royal",409.5,14.5,5939.76,19.95,357.7,0.21,2535,1.307,63.35,"None",0.759,7.41,2586,348.4,"@ anomaly",58949.69
1997,"Grapes","Autumn Royal",16.46,15.08,248.16,20.31,254.4,0.37,,,63.35,"Bacterial",0.593,,2549,343,"@ data entry check",68335.76
1998,"Grapes","Autumn Royal",208.5,16.43,3426.52,20.56,363.4,0.08,2518,1.407,68.08,"None",0.749,9.71,2940,347,"@ anomaly",77629.45
1999,"Grapes","Autumn Royal",361.86,9.19,3327.13,20.72,281,0.4,3097,0.728,64.76,"Bacterial",0.611,11.11,2515,346.6,"@",29847
2000,"Grapes","Autumn Royal",295.12,17.5,5165.74,16.88,372.7,0.35,2452,1.415,64.14,"Fungal",0.74,9.87,1759,347.7,"@ data entry check",45364.59
2001,"Grapes","Autumn Royal",366.99,13.13,4818.03,12.78,285.6,0.32,3123,1.028,58.2,"Bacterial",0.62,7.46,1184,365.7,"@ missing-field flag",62869.06
2002,"Grapes","Autumn Royal",517.04,8.86,4578.98,21.76,264.7,0.55,3385,0.629,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2003,"Grapes","Autumn Royal",460.03,12.87,5922.42,18.96,256.1,0.37,3553,0.844,54.91,"Bacterial",0.531,10.31,2392,361.4,"@ missing-field flag",29516.3
2004,"Grapes","Autumn Royal",581.98,18.05,10505.28,19.44,233,0.5,3678,1.311,55.54,"Bacterial",0.571,10.54,2045,356.6,"@ ok",45340.63
2005,"Grapes","Autumn Royal",1158.47,16.08,18633.04,17.08,272.9,0.55,3328,1.124,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2006,"Grapes","Autumn Royal",283.67,14.57,4133.64,15.25,375,0.27,2601,1.1,55.98,"Fungal",0.758,7.37,1775,352.7,"@ missing-field flag",66206.36
2007,"Grapes","Autumn Royal",119.89,16.63,1994.17,16.81,323.5,0.34,2734,1.336,57.92,"Bacterial",0.666,10.88,1636,355.5,"@ data entry check",56114.41
2008,"Grapes","Autumn Royal",185.52,15.65,2903.58,20.64,259.4,0.32,3602,1.116,59.77,"Bacterial",0.578,7.98,2178,349.6,"@ ok",34385.6
2009,"Grapes","Autumn Royal",306.2,19.53,5981,20.84,224.4,0.41,3863,1.304,57.32,"Bacterial",0.505,9.89,2118,366.9,"@ ok",60060.23
2010,"Grapes","Autumn Royal",733.07,18.84,13808.49,21.34,395.1,0.29,2471,1.376,60.21,"Fungal",0.758,6.86,2674,336.2,"@ anomaly",56758.28
2011,"Grapes","Autumn Royal",153.73,13.22,2032.79,21.18,202.5,0.49,4021,0.801,58.47,"Bacterial",0.497,10.14,3200,363.8,"@ missing-field flag",53353.61
2012,"Grapes","Autumn Royal",117.98,16.35,1928.47,23.43,339.8,0.23,2697,1.135,61.84,"None",0.677,7.98,2828,354.2,"@ anomaly",73032.51
2013,"Grapes","Autumn Royal",162.71,15.2,2473.94,17.98,309.9,0.35,2935,1.013,59.51,"Bacterial",0.739,10.75,1824,345.6,"@ ok",33276.5
2014,"Grapes","Autumn Royal",204.73,17.26,3534.12,14.94,247,0.47,3626,1.126,58.91,"Bacterial",0.558,11.7,1765,352.9,"@ ok",57640.58
2015,"Grapes","Autumn Royal",564.13,20.36,11483.34,22.2,235.9,0.39,3693,1.289,56.46,"Bacterial",0.534,10.79,2980,352.8,"@",98230.6
2016,"Grapes","Autumn Royal",8.48,15.51,131.55,15.16,,0.4,2905,1.022,54.04,"Bacterial",,,1926,,"@ missing-field flag",70182.74
2017,"Grapes","Autumn Royal",274.04,16.5,4523.02,23.28,304.1,0.33,3025,1.171,58.97,"Bacterial",0.624,7.7,2826,341.8,"@ ok",66801.74
2018,"Grapes","Autumn Royal",895.56,8.29,7421.63,14.96,293.3,0.38,3085,0.583,56.8,"Bacterial",0.566,7.8,1075,355.3,"@",35177.27
2019,"Grapes","Autumn Royal",550.63,18.58,10233.35,20.35,309.3,0.29,2952,1.209,58.77,"Bacterial",0.656,10.12,2120,340.5,"@ data entry check",42643.46
2020,"Grapes","Autumn Royal",98.49,21.33,2100.5,20.32,280.3,0.47,3221,1.382,57.81,"Bacterial",0.63,9.61,2216,373.2,"@  reviewed",87208.42
2021,"Grapes","Autumn Royal",748.37,6.58,4922.47,20.68,347.9,0.33,2523,0.462,61.66,"Fungal",0.677,9.4,2929,341,"@ data entry check",17872.41
2022,"Grapes","Autumn Royal",655.19,22.67,14853.92,24,259.6,0.41,3401,1.363,59.64,"Bacterial",0.589,9.53,3130,368.8,"@",49747.27
2023,"Grapes","Autumn Royal",310.64,21.66,6729.24,14.22,317.3,0.28,2902,1.418,59.36,"Bacterial",0.639,10,1346,337.7,"@ data entry check",72308.82
1995,"Grapes","Crimson Seedless",948.44,8.35,7921.22,13.5,378.7,0.28,2559,0.756,60.32,"Fungal",0.756,7.83,1313,352.9,"@  reviewed",17911.29
1996,"Grapes","Crimson Seedless",799.56,13.23,10580.21,19.95,357.7,0.21,2535,1.193,63.35,"None",0.759,7.41,2586,348.4,"@ anomaly",58949.69
1997,"Grapes","Crimson Seedless",593.21,16.54,9814.59,20.31,254.4,0.37,,,63.35,"Bacterial",0.593,,2549,343,"@ data entry check",68335.76
1998,"Grapes","Crimson Seedless",799.23,14.65,11709.38,20.56,363.4,0.08,2518,1.254,68.08,"None",0.749,9.71,2940,347,"@ anomaly",77629.45
1999,"Grapes","Crimson Seedless",69.12,9.4,649.45,20.72,281,0.4,3097,0.744,64.76,"Bacterial",0.611,11.11,2515,346.6,"@",29847
2000,"Grapes","Crimson Seedless",149.77,17.79,2664.65,16.88,372.7,0.35,2452,1.439,64.14,"Fungal",0.74,9.87,1759,347.7,"@ data entry check",45364.59
2001,"Grapes","Crimson Seedless",475.32,12.88,6122.32,12.78,285.6,0.32,3123,1.008,58.2,"Bacterial",0.62,7.46,1184,365.7,"@ missing-field flag",62869.06
2002,"Grapes","Crimson Seedless",916,8.36,7658,21.76,264.7,0.55,3385,0.594,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2003,"Grapes","Crimson Seedless",214.49,12.22,2622.03,18.96,256.1,0.37,3553,0.802,54.91,"Bacterial",0.531,10.31,2392,361.4,"@ missing-field flag",29516.3
2004,"Grapes","Crimson Seedless",146.42,16.58,2428.06,19.44,233,0.5,3678,1.204,55.54,"Bacterial",0.571,10.54,2045,356.6,"@ ok",45340.63
2005,"Grapes","Crimson Seedless",290.88,15.35,4464.85,17.08,272.9,0.55,3328,1.073,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2006,"Grapes","Crimson Seedless",666.76,13.78,9186.66,15.25,375,0.27,2601,1.041,55.98,"Fungal",0.758,7.37,1775,352.7,"@ missing-field flag",66206.36
2007,"Grapes","Crimson Seedless",263.26,15.37,4045.62,16.81,323.5,0.34,2734,1.235,57.92,"Bacterial",0.666,10.88,1636,355.5,"@ data entry check",56114.41
2008,"Grapes","Crimson Seedless",586.59,17.5,10262.54,20.64,259.4,0.32,3602,1.248,59.77,"Bacterial",0.578,7.98,2178,349.6,"@ ok",34385.6
2009,"Grapes","Crimson Seedless",165.88,18.82,3122.57,20.84,224.4,0.41,3863,1.257,57.32,"Bacterial",0.505,9.89,2118,366.9,"@ ok",60060.23
2010,"Grapes","Crimson Seedless",132.56,22.4,2969.15,21.34,395.1,0.29,2471,1.636,60.21,"Fungal",0.758,6.86,2674,336.2,"@ anomaly",56758.28
2011,"Grapes","Crimson Seedless",1838.36,13.55,24911.54,21.18,202.5,0.49,4021,0.821,58.47,"Bacterial",0.497,10.14,3200,363.8,"@ missing-field flag",53353.61
2012,"Grapes","Crimson Seedless",445.32,17.33,7717.63,23.43,339.8,0.23,2697,1.203,61.84,"None",0.677,7.98,2828,354.2,"@ anomaly",73032.51
2013,"Grapes","Crimson Seedless",690,15.35,10594.91,17.98,309.9,0.35,2935,1.023,59.51,"Bacterial",0.739,10.75,1824,345.6,"@ ok",33276.5
2014,"Grapes","Crimson Seedless",101.55,16.65,1691.16,14.94,247,0.47,3626,1.086,58.91,"Bacterial",0.558,11.7,1765,352.9,"@ ok",57640.58
2015,"Grapes","Crimson Seedless",29.59,21.13,625.26,22.2,235.9,0.39,3693,1.337,56.46,"Bacterial",0.534,10.79,2980,352.8,"@",98230.6
2016,"Grapes","Crimson Seedless",237.93,15.79,3757.56,15.16,,0.4,2905,1.041,54.04,"Bacterial",,,1926,,"@ missing-field flag",70182.74
2017,"Grapes","Crimson Seedless",444.76,16.5,7336.35,23.28,304.1,0.33,3025,1.171,58.97,"Bacterial",0.624,7.7,2826,341.8,"@ ok",66801.74
2018,"Grapes","Crimson Seedless",613.37,9.16,5619.09,14.96,293.3,0.38,3085,0.644,56.8,"Bacterial",0.566,7.8,1075,355.3,"@",35177.27
2019,"Grapes","Crimson Seedless",60.58,19.36,1172.7,20.35,309.3,0.29,2952,1.26,58.77,"Bacterial",0.656,10.12,2120,340.5,"@ data entry check",42643.46
2020,"Grapes","Crimson Seedless",1018.49,23.01,23434.68,20.32,280.3,0.47,3221,1.491,57.81,"Bacterial",0.63,9.61,2216,373.2,"@  reviewed",87208.42
2021,"Grapes","Crimson Seedless",308.2,6.69,2061.31,20.68,347.9,0.33,2523,0.469,61.66,"Fungal",0.677,9.4,2929,341,"@ data entry check",17872.41
2022,"Grapes","Crimson Seedless",18.72,20.99,392.98,24,259.6,0.41,3401,1.262,59.64,"Bacterial",0.589,9.53,3130,368.8,"@",49747.27
2023,"Grapes","Crimson Seedless",317.85,20.01,6358.6,14.22,317.3,0.28,2902,1.31,59.36,"Bacterial",0.639,10,1346,337.7,"@ data entry check",72308.82
1995,"Grapes","Flame Seedless",114.45,10.73,1228.1,13.5,378.7,0.28,2559,0.972,60.32,"Fungal",0.756,7.83,1313,352.9,"@  reviewed",17911.29
1996,"Grapes","Flame Seedless",734.87,13.33,9799,19.95,357.7,0.21,2535,1.202,63.35,"None",0.759,7.41,2586,348.4,"@ anomaly",58949.69
1997,"Grapes","Flame Seedless",0.97,16.2,15.71,20.31,254.4,0.37,,,63.35,"Bacterial",0.593,,2549,343,"@ data entry check",68335.76
1998,"Grapes","Flame Seedless",231.47,15.09,3493.85,20.56,363.4,0.08,2518,1.292,68.08,"None",0.749,9.71,2940,347,"@ anomaly",77629.45
1999,"Grapes","Flame Seedless",406.9,8.23,3350.72,20.72,281,0.4,3097,0.652,64.76,"Bacterial",0.611,11.11,2515,346.6,"@",29847
2000,"Grapes","Flame Seedless",398.28,18.23,7259.93,16.88,372.7,0.35,2452,1.474,64.14,"Fungal",0.74,9.87,1759,347.7,"@ data entry check",45364.59
2001,"Grapes","Flame Seedless",644.83,13.64,8798.39,12.78,285.6,0.32,3123,1.068,58.2,"Bacterial",0.62,7.46,1184,365.7,"@ missing-field flag",62869.06
2002,"Grapes","Flame Seedless",488.71,8.61,4206.91,21.76,264.7,0.55,3385,0.612,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2003,"Grapes","Flame Seedless",284.85,12.58,3584.31,18.96,256.1,0.37,3553,0.825,54.91,"Bacterial",0.531,10.31,2392,361.4,"@ missing-field flag",29516.3
2004,"Grapes","Flame Seedless",34.61,16.97,587.23,19.44,233,0.5,3678,1.232,55.54,"Bacterial",0.571,10.54,2045,356.6,"@ ok",45340.63
2005,"Grapes","Flame Seedless",128.39,16.11,2068.87,17.08,272.9,0.55,3328,1.126,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2006,"Grapes","Flame Seedless",518.5,14.4,7466.99,15.25,375,0.27,2601,1.088,55.98,"Fungal",0.758,7.37,1775,352.7,"@ missing-field flag",66206.36
2007,"Grapes","Flame Seedless",821.8,14.55,11959.57,16.81,323.5,0.34,2734,1.169,57.92,"Bacterial",0.666,10.88,1636,355.5,"@ data entry check",56114.41
2008,"Grapes","Flame Seedless",367.06,16.87,6193.75,20.64,259.4,0.32,3602,1.203,59.77,"Bacterial",0.578,7.98,2178,349.6,"@ ok",34385.6
2009,"Grapes","Flame Seedless",185,18.72,3463.26,20.84,224.4,0.41,3863,1.25,57.32,"Bacterial",0.505,9.89,2118,366.9,"@ ok",60060.23
2010,"Grapes","Flame Seedless",681.37,19.5,13289.28,21.34,395.1,0.29,2471,1.424,60.21,"Fungal",0.758,6.86,2674,336.2,"@ anomaly",56758.28
2011,"Grapes","Flame Seedless",239.47,12.29,2942.9,21.18,202.5,0.49,4021,0.745,58.47,"Bacterial",0.497,10.14,3200,363.8,"@ missing-field flag",53353.61
2012,"Grapes","Flame Seedless",901.1,17.37,15653.14,23.43,339.8,0.23,2697,1.206,61.84,"None",0.677,7.98,2828,354.2,"@ anomaly",73032.51
2013,"Grapes","Flame Seedless",218.17,16.34,3564.28,17.98,309.9,0.35,2935,1.089,59.51,"Bacterial",0.739,10.75,1824,345.6,"@ ok",33276.5
2014,"Grapes","Flame Seedless",17.58,16.32,286.99,14.94,247,0.47,3626,1.065,58.91,"Bacterial",0.558,11.7,1765,352.9,"@ ok",57640.58
2015,"Grapes","Flame Seedless",1033.13,20.91,21597.8,22.2,235.9,0.39,3693,1.323,56.46,"Bacterial",0.534,10.79,2980,352.8,"@",98230.6
2016,"Grapes","Flame Seedless",325.28,15.62,5081.67,15.16,,0.4,2905,1.029,54.04,"Bacterial",,,1926,,"@ missing-field flag",70182.74
2017,"Grapes","Flame Seedless",233.73,17.75,4148.03,23.28,304.1,0.33,3025,1.26,58.97,"Bacterial",0.624,7.7,2826,341.8,"@ ok",66801.74
2018,"Grapes","Flame Seedless",1252.89,8.48,10628.91,14.96,293.3,0.38,3085,0.596,56.8,"Bacterial",0.566,7.8,1075,355.3,"@",35177.27
2019,"Grapes","Flame Seedless",367.68,19,6986.6,20.35,309.3,0.29,2952,1.237,58.77,"Bacterial",0.656,10.12,2120,340.5,"@ data entry check",42643.46
2020,"Grapes","Flame Seedless",66.15,20.86,1380.09,20.32,280.3,0.47,3221,1.351,57.81,"Bacterial",0.63,9.61,2216,373.2,"@  reviewed",87208.42
2021,"Grapes","Flame Seedless",380.45,5.96,2269.03,20.68,347.9,0.33,2523,0.418,61.66,"Fungal",0.677,9.4,2929,341,"@ data entry check",17872.41
2022,"Grapes","Flame Seedless",240.44,20.89,5021.64,24,259.6,0.41,3401,1.256,59.64,"Bacterial",0.589,9.53,3130,368.8,"@",49747.27
2023,"Grapes","Flame Seedless",233.8,22.2,5189.78,14.22,317.3,0.28,2902,1.453,59.36,"Bacterial",0.639,10,1346,337.7,"@ data entry check",72308.82
1995,"Grapes","Italia",96.34,9.54,918.68,13.5,378.7,0.28,2559,0.864,60.32,"Fungal",0.756,7.83,1313,352.9,"@  reviewed",17911.29
1996,"Grapes","Italia",269.32,13.25,3569.27,19.95,357.7,0.21,2535,1.195,63.35,"None",0.759,7.41,2586,348.4,"@ anomaly",58949.69
1997,"Grapes","Italia",1844.73,15.69,28941.21,20.31,254.4,0.37,,,63.35,"Bacterial",0.593,,2549,343,"@ data entry check",68335.76
1998,"Grapes","Italia",393.36,15.42,6065.34,20.56,363.4,0.08,2518,1.32,68.08,"None",0.749,9.71,2940,347,"@ anomaly",77629.45
1999,"Grapes","Italia",1088.69,9.21,10030.86,20.72,281,0.4,3097,0.729,64.76,"Bacterial",0.611,11.11,2515,346.6,"@",29847
2000,"Grapes","Italia",343.83,18.45,6342.47,16.88,372.7,0.35,2452,1.492,64.14,"Fungal",0.74,9.87,1759,347.7,"@ data entry check",45364.59
2001,"Grapes","Italia",962.23,12.26,11792.38,12.78,285.6,0.32,3123,0.96,58.2,"Bacterial",0.62,7.46,1184,365.7,"@ missing-field flag",62869.06
2002,"Grapes","Italia",70.78,8.34,590.34,21.76,264.7,0.55,3385,0.592,57.42,"Bacterial",0.601,9.86,3058,331.5,"@ anomaly",36783.08
2003,"Grapes","Italia",875.26,12.15,10631.7,18.96,256.1,0.37,3553,0.797,54.91,"Bacterial",0.531,10.31,2392,361.4,"@ missing-field flag",29516.3
2004,"Grapes","Italia",256.57,17.82,4573.18,19.44,233,0.5,3678,1.294,55.54,"Bacterial",0.571,10.54,2045,356.6,"@ ok",45340.63
2005,"Grapes","Italia",1815.86,16.84,30576.82,17.08,272.9,0.55,3328,1.177,53.84,"Bacterial",0.558,9.59,2420,345,"@ anomaly",69116.6
2006,"Grapes","Italia",107.08,15.15,1622.79,15.25,375,0.27,2601,1.144,55.98,"Fungal",0.758,7.37,1775,352.7,"@ missing-field flag",66206.36
2007,"Grapes","Italia",211.99,14.8,3137.08,16.81,323.5,0.34,2734,1.189,57.92,"Bacterial",0.666,10.88,1636,355.5,"@ data entry check",56114.41
2008,"Grapes","Italia",6.16,16.81,103.52,20.64,259.4,0.32,3602,1.199,59.77,"Bacterial",0.578,7.98,2178,349.6,"@ ok",34385.6
2009,"Grapes","Italia",138.12,19.24,2657.43,20.84,224.4,0.41,3863,1.285,57.32,"Bacterial",0.505,9.89,2118,366.9,"@ ok",60060.23
2010,"Grapes","Italia",129.77,19.15,2485.71,21.34,395.1,0.29,2471,1.398,60.21,"Fungal",0.758,6.86,2674,336.2,"@ anomaly",56758.28
2011,"Grapes","Italia",9.76,12.38,120.82,21.18,202.5,0.49,4021,0.75,58.47,"Bacterial",0.497,10.14,3200,363.8,"@ missing-field flag",53353.61
2012,"Grapes","Italia",15.61,15.9,248.18,23.43,339.8,0.23,2697,1.104,61.84,"None",0.677,7.98,2828,354.2,"@ anomaly",73032.51
2013,"Grapes","Italia",77.5,15.3,1186.12,17.98,309.9,0.35,2935,1.02,59.51,"Bacterial",0.739,10.75,1824,345.6,"@ ok",33276.5
2014,"Grapes","Italia",1286.09,17.96,23095.94,14.94,247,0.47,3626,1.172,58.91,"Bacterial",0.558,11.7,1765,352.9,"@ ok",57640.58
2015,"Grapes","Italia",951.47,18.89,17977.21,22.2,235.9,0.39,3693,1.196,56.46,"Bacterial",0.534,10.79,2980,352.8,"@",98230.6
2016,"Grapes","Italia",141.29,17.03,2406.8,15.16,,0.4,2905,1.122,54.04,"Bacterial",,,1926,,"@ missing-field flag",70182.74
2017,"Grapes","Italia",315.51,17.18,5420.68,23.28,304.1,0.33,3025,1.219,58.97,"Bacterial",0.624,7.7,2826,341.8,"@ ok",66801.74
2018,"Grapes","Italia",173.21,8.33,1442.22,14.96,293.3,0.38,3085,0.586,56.8,"Bacterial",0.566,7.8,1075,355.3,"@",35177.27
2019,"Grapes","Italia",49.98,19.48,973.61,20.35,309.3,0.29,2952,1.268,58.77,"Bacterial",0.656,10.12,2120,340.5,"@ data entry check",42643.46
2020,"Grapes","Italia",457.07,19.17,8762.56,20.32,280.3,0.47,3221,1.242,57.81,"Bacterial",0.63,9.61,2216,373.2,"@  reviewed",87208.42
2021,"Grapes","Italia",521.07,7.21,3757.54,20.68,347.9,0.33,2523,0.506,61.66,"Fungal",0.677,9.4,2929,341,"@ data entry check",17872.41
2022,"Grapes","Italia",550.01,20.6,11331.4,24,259.6,0.41,3401,1.239,59.64,"Bacterial",0.589,9.53,3130,368.8,"@",49747.27
2023,"Grapes","Italia",326.69,20.82,6802.76,14.22,317.3,0.28,2902,1.363,59.36,"Bacterial",0.639,10,1346,337.7,"@ data entry check",72308.82
1995,"Grapes","Red Globe",149.97,9.34,1401.29,13.5,378.7,0.28,2559,0.846,60.32,"Fungal",0.756,7.83,1313,352.9,"@  reviewed",17911.29
1996,"Grapes","Red Globe",941.25,15.03,14150.93,19.95,357.7,0.21,2535,1.355,63.35,"None",0.759,7.41,2586,348.4,"@ anomaly",58949.69
